Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-11-09 17:55:22,false,"Reading - Easy Run","4.83","357","00:34:45","155","170","3.6","155","162","7:12","6:08","4","10","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:39.64","5","0.0","00:34:38","00:35:02","34","44"
Running,2021-11-08 18:38:11,false,"Reading - Tired Run","3.22","239","00:22:20","156","177","3.4","155","163","6:56","6:24","11","6","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:26.92","4","0.0","00:22:19","00:22:20","38","52"
Running,2021-11-06 12:22:05,false,"Reading - Negative Split Run","9.66","845","01:14:24","172","189","5.0","154","163","7:42","6:30","13","17","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:45.45","11","0.0","01:14:08","01:14:24","34","44"
Running,2021-11-04 19:22:22,false,"Reading - Pace Run","3.22","226","00:19:43","162","192","3.7","156","169","6:08","5:14","6","6","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:33.50","4","0.0","00:19:37","00:19:43","38","46"
Running,2021-11-02 17:45:55,false,"Reading - Easy Run","4.83","373","00:34:01","161","185","4.1","156","165","7:03","6:05","15","10","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:27.33","5","0.0","00:34:00","00:34:01","38","53"
Running,2021-11-01 18:04:15,false,"Reading - Tired Run","1.61","115","00:11:33","148","169","2.4","151","163","7:11","6:17","3","3","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:11.05","2","0.0","00:11:33","00:11:33","39","46"
Running,2021-10-30 12:40:12,false,"Reading - Negative Split Run","7.33","590","00:54:12","169","189","5.0","156","163","7:24","6:19","16","21","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.84","9","0.0","00:54:08","00:55:47","34","44"
Running,2021-10-28 17:41:15,false,"Reading - Cadence Drills","3.22","252","00:22:10","163","184","3.7","157","165","6:53","6:13","9","4","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:12.13","4","0.0","00:22:07","00:22:10","38","51"
Running,2021-10-26 18:11:47,false,"Reading - Easy Run","4.83","378","00:33:01","163","187","4.4","155","163","6:50","5:58","10","8","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:42.75","5","0.0","00:33:00","00:33:01","38","49"
Running,2021-10-25 18:18:22,false,"Reading - Tired Run","1.61","102","00:09:57.6","137","159","2.3","158","173","6:11","5:15","5","4","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:28.26","2","0.0","00:09:57.3","00:09:57.6","38","46"
Running,2021-10-23 12:59:38,false,"Reading - Negative Split Run","6.44","511","00:44:54","168","191","4.7","160","171","6:59","5:51","11","16","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:09.87","8","0.0","00:44:50","00:44:54","36","44"
Running,2021-10-21 17:31:07,false,"Reading - Easy Run","3.22","230","00:22:09","152","179","3.2","156","163","6:53","6:11","13","16","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:26.71","4","0.0","00:22:05","00:22:09","37","53"
Running,2021-10-19 17:45:18,false,"Reading - Easy Run","4.83","380","00:32:48","165","189","4.3","156","163","6:48","6:01","5","10","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:38.31","5","0.0","00:32:47","00:32:48","37","43"
Running,2021-10-18 18:16:45,false,"Reading - Benchmark Run","1.65","96","00:09:00","147","175","2.4","162","182","5:27","4:16","7","4","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:24.12","4","0.0","00:08:59.9","00:09:00","38","47"
Running,2021-10-15 17:41:46,false,"Reading Running","4.00","304","00:27:51","161","180","--","155","164","6:57","6:11","--","4","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","27:50.65","1","0.0","00:27:48","00:27:51","35","69"
